Date,Utility,SARS_CoV_2_copies_L,Number_of_New_COVID19_Cases_by_,ObjectId
08/17/2020,South Fort Collins,5676.9,0,300
08/17/2020,SPR,31424.9,6,301
08/17/2020,Wellington Water and Sewer,,0,302
08/18/2020,Aurora,,18,303
08/18/2020,Boulder,,5,304
08/18/2020,Broomfield,,0,305
08/18/2020,CO Springs - JD Phillips,,9,306
08/18/2020,CO Springs - Las Vegas,,18,307
08/18/2020,Estes Park + Upper Thompson,,0,308
08/18/2020,Fort Collins - Boxelder,,0,309
08/18/2020,Fort Collins - Drake,,9,310
08/18/2020,Fort Collins - Mulberry,,0,311
08/18/2020,Greeley,,0,312
08/18/2020,Longmont,,0,313
08/18/2020,Louisville,,0,314
08/18/2020,Loveland,,0,315
08/18/2020,Metro Wastewater RWHTF - CC,,28,316
08/18/2020,Metro Wastewater RWHTF - PRC,,45,317
08/18/2020,Northglenn,18254.8,0,318
08/18/2020,Pueblo,,6,319
08/18/2020,Pueblo West,,0,320
08/18/2020,South Adams County,,5,321
08/18/2020,South Fort Collins,,0,322
08/18/2020,SPR,,8,323
08/18/2020,Wellington Water and Sewer,,0,324
08/19/2020,Aurora,,21,325
08/19/2020,Boulder,,6,326
08/19/2020,Broomfield,,0,327
08/19/2020,CO Springs - JD Phillips,,8,328
08/19/2020,CO Springs - Las Vegas,,20,329
08/19/2020,Estes Park + Upper Thompson,,0,330
08/19/2020,Fort Collins - Boxelder,,0,331
08/19/2020,Fort Collins - Drake,,10,332
08/19/2020,Fort Collins - Mulberry,,0,333
08/19/2020,Greeley,,0,334
08/19/2020,Longmont,,0,335
08/19/2020,Louisville,,0,336
08/19/2020,Loveland,,0,337
08/19/2020,Metro Wastewater RWHTF - CC,,31,338
08/19/2020,Metro Wastewater RWHTF - PRC,,43,339
08/19/2020,Northglenn,,0,340
08/19/2020,Pueblo,,5,341
08/19/2020,Pueblo West,,0,342
08/19/2020,South Adams County,,0,343
08/19/2020,South Fort Collins,,0,344
08/19/2020,SPR,,9,345
08/19/2020,Wellington Water and Sewer,,0,346
08/20/2020,Aurora,29458.4,19,347
08/20/2020,Boulder,8227.3,5,348
08/20/2020,Broomfield,7451.3,0,349
08/20/2020,CO Springs - JD Phillips,9642,5,350
08/13/2020,Fort Collins - Mulberry,4914.2,0,351
08/13/2020,Greeley,19595.9,0,352
08/13/2020,Longmont,,0,353
08/13/2020,Louisville,1730.1,0,354
08/13/2020,Loveland,,0,355
08/13/2020,Metro Wastewater RWHTF - CC,,34,356
08/13/2020,Metro Wastewater RWHTF - PRC,9358.1,44,357
08/13/2020,Northglenn,,0,358
08/13/2020,Pueblo,1779.8,5,359
08/13/2020,Pueblo West,,0,360
08/13/2020,South Adams County,7111.4,0,361
08/13/2020,South Fort Collins,1624.6,0,362
08/13/2020,SPR,7065.8,8,363
08/13/2020,Wellington Water and Sewer,,0,364
08/14/2020,Aurora,,24,365
08/14/2020,Boulder,,0,366
08/14/2020,Broomfield,,0,367
08/14/2020,CO Springs - JD Phillips,,0,368
08/14/2020,CO Springs - Las Vegas,,21,369
08/14/2020,Estes Park + Upper Thompson,,0,370
08/14/2020,Fort Collins - Boxelder,,0,371
08/14/2020,Fort Collins - Drake,,5,372
08/14/2020,Fort Collins - Mulberry,,0,373
08/14/2020,Greeley,,0,374
08/14/2020,Longmont,,0,375
08/14/2020,Louisville,,0,376
08/14/2020,Loveland,,0,377
08/14/2020,Metro Wastewater RWHTF - CC,,29,378
08/14/2020,Metro Wastewater RWHTF - PRC,,39,379
08/14/2020,Northglenn,,0,380
08/14/2020,Pueblo,,6,381
08/14/2020,Pueblo West,,0,382
08/14/2020,South Adams County,,0,383
08/14/2020,South Fort Collins,,0,384
08/14/2020,SPR,,8,385
08/14/2020,Wellington Water and Sewer,,0,386
08/15/2020,Aurora,,16,387
08/15/2020,Boulder,,0,388
08/15/2020,Broomfield,,0,389
08/15/2020,CO Springs - JD Phillips,,5,390
08/15/2020,CO Springs - Las Vegas,,15,391
08/15/2020,Estes Park + Upper Thompson,,0,392
08/15/2020,Fort Collins - Boxelder,,0,393
08/15/2020,Fort Collins - Drake,,0,394
08/15/2020,Fort Collins - Mulberry,,0,395
08/15/2020,Greeley,,0,396
08/15/2020,Longmont,,0,397
08/15/2020,Louisville,,0,398
08/15/2020,Loveland,,0,399
08/15/2020,Metro Wastewater RWHTF - CC,,27,400
08/24/2020,Pueblo,15236,0,401
08/24/2020,Pueblo West,,0,402
08/24/2020,South Adams County,7933.3,5,403
08/24/2020,South Fort Collins,17102.3,0,404
08/24/2020,SPR,7926.8,8,405
08/24/2020,Wellington Water and Sewer,,0,406
08/25/2020,Aurora,,17,407
08/25/2020,Boulder,,8,408
08/25/2020,Broomfield,,0,409
08/25/2020,CO Springs - JD Phillips,,0,410
08/25/2020,CO Springs - Las Vegas,,20,411
08/25/2020,Estes Park + Upper Thompson,,0,412
08/25/2020,Fort Collins - Boxelder,,0,413
08/25/2020,Fort Collins - Drake,,6,414
08/25/2020,Fort Collins - Mulberry,,0,415
08/25/2020,Greeley,,5,416
08/25/2020,Longmont,,0,417
08/25/2020,Louisville,,0,418
08/25/2020,Loveland,,0,419
08/25/2020,Metro Wastewater RWHTF - CC,,32,420
08/25/2020,Metro Wastewater RWHTF - PRC,,47,421
08/22/2020,Longmont,,0,422
08/25/2020,Northglenn,8152.9,0,423
08/25/2020,Pueblo,,5,424
08/25/2020,Pueblo West,,0,425
08/25/2020,South Adams County,,5,426
08/25/2020,South Fort Collins,,0,427
08/25/2020,SPR,,8,428
08/25/2020,Wellington Water and Sewer,,0,429
08/26/2020,Aurora,,22,430
08/26/2020,Boulder,,7,431
08/26/2020,Broomfield,,0,432
08/26/2020,CO Springs - JD Phillips,,0,433
08/26/2020,CO Springs - Las Vegas,,23,434
08/26/2020,Estes Park + Upper Thompson,,0,435
08/26/2020,Fort Collins - Boxelder,,0,436
08/26/2020,Fort Collins - Drake,,8,437
08/26/2020,Fort Collins - Mulberry,,0,438
08/26/2020,Greeley,,7,439
08/26/2020,Longmont,,0,440
08/26/2020,Louisville,,0,441
08/26/2020,Loveland,,0,442
08/26/2020,Metro Wastewater RWHTF - CC,,34,443
08/26/2020,Metro Wastewater RWHTF - PRC,,52,444
08/26/2020,Northglenn,,0,445
08/26/2020,Pueblo,,5,446
08/26/2020,Pueblo West,,0,447
08/26/2020,South Adams County,,8,448
08/26/2020,South Fort Collins,,0,449
08/26/2020,SPR,,11,450
08/26/2020,Wellington Water and Sewer,,0,451
09/02/2020,South Adams County,,8,452
08/20/2020,CO Springs - Las Vegas,20614.9,21,453
08/29/2020,Fort Collins - Boxelder,,0,454
08/22/2020,Louisville,,0,455
08/20/2020,Estes Park + Upper Thompson,16283.3,0,456
09/02/2020,South Fort Collins,,0,457
08/22/2020,Loveland,,0,458
08/29/2020,Fort Collins - Drake,,8,459
08/20/2020,Fort Collins - Boxelder,11451.4,0,460
09/02/2020,SPR,,14,461
08/22/2020,Metro Wastewater RWHTF - CC,,33,462
